pos_team,posteam_home,posteam_away,def_team,score_differential,yardline_100,half_seconds_remaining,qtr,down,ydstogo,normal_first_down,first_and_short,first_and_long,second_and_short,second_and_medium,second_and_long,third_and_short,third_and_medium,third_and_long,in_redzone,is_two_minute_drill,is_goal_to_go,curr_drive_length,play_type,play_length
TEN,0,1,ARI,0.0,75.0,1800.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,-3.0
TEN,0,1,ARI,0.0,78.0,1763.0,1,2.0,13,0,0,0,0,0,1,0,0,0,0,0,0,-3.0,pass,2.0
TEN,0,1,ARI,0.0,75.0,1722.0,1,3.0,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,pass,10.0
ARI,0,1,TEN,0.0,61.0,1707.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,29.0
ARI,0,1,TEN,0.0,23.0,1675.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,38.0,run,2.0
ARI,0,1,TEN,0.0,31.0,1646.0,1,1.0,18,0,0,1,0,0,0,0,0,0,0,0,0,30.0,pass,-4.0
ARI,0,1,TEN,0.0,30.0,1614.0,1,2.0,17,0,0,0,0,0,1,0,0,0,0,0,0,31.0,pass,20.0
ARI,0,1,TEN,0.0,9.0,1600.0,1,1.0,9,1,0,0,0,0,0,0,0,0,1,0,1,52.0,run,0.0
ARI,0,1,TEN,0.0,24.0,1508.0,1,2.0,24,0,0,0,0,0,1,0,0,0,0,0,0,37.0,pass,4.0
ARI,0,1,TEN,0.0,16.0,1469.0,1,3.0,16,0,0,0,0,0,0,0,0,1,1,0,1,45.0,pass,16.0
TEN,0,1,ARI,-3.0,80.0,1457.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,-1.0
ARI,0,1,TEN,3.0,5.0,1410.0,1,1.0,5,0,0,0,0,0,0,0,0,0,1,0,1,-4.0,pass,5.0
ARI,0,1,TEN,3.0,5.0,1406.0,1,2.0,5,0,0,0,0,1,0,0,0,0,1,0,1,-4.0,pass,5.0
ARI,0,1,TEN,3.0,5.0,1398.0,1,3.0,5,0,0,0,0,0,0,0,1,0,1,0,1,-4.0,pass,5.0
TEN,0,1,ARI,-10.0,75.0,1391.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,2.0
TEN,0,1,ARI,-10.0,73.0,1344.0,1,2.0,8,0,0,0,0,0,1,0,0,0,0,0,0,2.0,run,7.0
TEN,0,1,ARI,-10.0,81.0,1319.0,1,3.0,16,0,0,0,0,0,0,0,0,1,0,0,0,-6.0,pass,-1.0
ARI,0,1,TEN,10.0,65.0,1304.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,4.0
ARI,0,1,TEN,10.0,61.0,1264.0,1,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,4.0,pass,3.0
ARI,0,1,TEN,10.0,58.0,1229.0,1,3.0,3,0,0,0,0,0,0,1,0,0,0,0,0,7.0,pass,3.0
TEN,0,1,ARI,-10.0,86.0,1174.0,1,2.0,16,0,0,0,0,0,1,0,0,0,0,0,0,-6.0,pass,4.0
TEN,0,1,ARI,-10.0,82.0,1129.0,1,3.0,12,0,0,0,0,0,0,0,0,1,0,0,0,-2.0,pass,3.0
TEN,0,1,ARI,-10.0,68.0,1044.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,12.0,run,-1.0
TEN,0,1,ARI,-10.0,69.0,1009.0,1,2.0,11,0,0,0,0,0,1,0,0,0,0,0,0,11.0,run,2.0
ARI,0,1,TEN,10.0,72.0,900.0,2,2.0,12,0,0,0,0,0,1,0,0,0,0,0,0,-2.0,pass,10.0
ARI,0,1,TEN,10.0,45.0,856.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,25.0,run,3.0
ARI,0,1,TEN,10.0,42.0,838.0,2,2.0,7,0,0,0,0,1,0,0,0,0,0,0,0,28.0,run,10.0
ARI,0,1,TEN,10.0,32.0,798.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,38.0,pass,-1.0
ARI,0,1,TEN,10.0,29.0,759.0,2,2.0,7,0,0,0,0,1,0,0,0,0,0,0,0,41.0,run,7.0
ARI,0,1,TEN,10.0,22.0,740.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,48.0,run,7.0
ARI,0,1,TEN,10.0,25.0,710.0,2,1.0,13,0,0,1,0,0,0,0,0,0,0,0,0,45.0,run,8.0
