pos_team,posteam_home,posteam_away,def_team,score_differential,yardline_100,half_seconds_remaining,qtr,down,ydstogo,normal_first_down,first_and_short,first_and_long,second_and_short,second_and_medium,second_and_long,third_and_short,third_and_medium,third_and_long,in_redzone,is_two_minute_drill,is_goal_to_go,curr_drive_length,play_type,play_length
NYJ,0,1,BAL,0.0,78.0,1796,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,19.0
NYJ,0,1,BAL,0.0,59.0,1765,1,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,19.0,run,5.0
BAL,0,1,NYJ,0.0,72.0,1722,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,-4.0
BAL,0,1,NYJ,0.0,68.0,1701,1,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,4.0,pass,3.0
BAL,0,1,NYJ,0.0,64.0,1661,1,3.0,2,0,0,0,0,0,0,1,0,0,0,0,0,8.0,run,4.0
BAL,0,1,NYJ,0.0,60.0,1621,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,12.0,run,0.0
BAL,0,1,NYJ,0.0,60.0,1579,1,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,12.0,pass,2.0
BAL,0,1,NYJ,0.0,52.0,1540,1,3.0,2,0,0,0,0,0,0,1,0,0,0,0,0,20.0,run,1.0
NYJ,0,1,BAL,0.0,89.0,1489,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,-2.0
NYJ,0,1,BAL,0.0,91.0,1451,1,2.0,12,0,0,0,0,0,1,0,0,0,0,0,0,-2.0,pass,3.0
NYJ,0,1,BAL,0.0,83.0,1407,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,6.0,run,1.0
NYJ,0,1,BAL,0.0,82.0,1371,1,2.0,9,0,0,0,0,0,1,0,0,0,0,0,0,7.0,run,0.0
NYJ,0,1,BAL,0.0,82.0,1336,1,3.0,9,0,0,0,0,0,0,0,0,1,0,0,0,7.0,pass,16.0
BAL,0,1,NYJ,0.0,66.0,1325,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,11.0
BAL,0,1,NYJ,0.0,66.0,1322,1,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0.0,run,1.0
BAL,0,1,NYJ,0.0,65.0,1273,1,3.0,9,0,0,0,0,0,0,0,0,1,0,0,0,1.0,pass,5.0
NYJ,0,1,BAL,0.0,83.0,1261,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,21.0
NYJ,0,1,BAL,0.0,59.0,1221,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,24.0,run,1.0
NYJ,0,1,BAL,0.0,68.0,1207,1,1.0,19,0,0,1,0,0,0,0,0,0,0,0,0,15.0,pass,14.0
BAL,0,1,NYJ,0.0,13.0,1196,1,1.0,10,1,0,0,0,0,0,0,0,0,1,0,0,0.0,run,-1.0
BAL,0,1,NYJ,0.0,14.0,1148,1,2.0,11,0,0,0,0,0,1,0,0,0,1,0,0,-1.0,pass,3.0
NYJ,0,1,BAL,-3.0,75.0,1091,1,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0.0,pass,-1.0
NYJ,0,1,BAL,-3.0,75.0,1087,1,3.0,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,pass,1.0
BAL,0,1,NYJ,3.0,84.0,1013,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,7.0
BAL,0,1,NYJ,3.0,73.0,972,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,11.0,pass,1.0
BAL,0,1,NYJ,3.0,71.0,925,1,2.0,8,0,0,0,0,0,1,0,0,0,0,0,0,13.0,run,3.0
BAL,0,1,NYJ,3.0,68.0,900,2,3.0,5,0,0,0,0,0,0,0,1,0,0,0,0,16.0,pass,6.0
NYJ,0,1,BAL,-3.0,71.0,885,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,15.0
NYJ,0,1,BAL,-3.0,56.0,858,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,15.0,pass,3.0
NYJ,0,1,BAL,-3.0,45.0,817,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,26.0,run,4.0
NYJ,0,1,BAL,-3.0,41.0,781,2,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,30.0,pass,-4.0
NYJ,0,1,BAL,-3.0,33.0,740,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,38.0,run,0.0
NYJ,0,1,BAL,-3.0,33.0,700,2,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,38.0,pass,-3.0
NYJ,0,1,BAL,-3.0,27.0,660,2,3.0,4,0,0,0,0,0,0,0,1,0,0,0,0,44.0,pass,8.0
BAL,0,1,NYJ,3.0,65.0,651,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,5.0
BAL,0,1,NYJ,3.0,60.0,617,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,5.0,pass,10.0
BAL,0,1,NYJ,3.0,51.0,496,2,3.0,12,0,0,0,0,0,0,0,0,1,0,0,0,14.0,pass,50.0
NYJ,0,1,BAL,-3.0,89.0,481,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,14.0
NYJ,0,1,BAL,-3.0,75.0,456,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,14.0,pass,1.0
NYJ,0,1,BAL,-3.0,70.0,414,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,19.0,pass,-4.0
NYJ,0,1,BAL,-3.0,71.0,295,2,3.0,17,0,0,0,0,0,0,0,0,1,0,0,0,18.0,pass,3.0
BAL,0,1,NYJ,3.0,30.0,275,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,32.0,pass,27.0
BAL,0,1,NYJ,3.0,30.0,269,2,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,32.0,pass,2.0
BAL,0,1,NYJ,3.0,25.0,231,2,3.0,5,0,0,0,0,0,0,0,1,0,0,0,0,37.0,pass,25.0
NYJ,0,1,BAL,-10.0,75.0,225,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,5.0
NYJ,0,1,BAL,-10.0,70.0,194,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,5.0,run,22.0
NYJ,0,1,BAL,-10.0,48.0,154,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,27.0,pass,-5.0
NYJ,0,1,BAL,-10.0,45.0,120,2,2.0,7,0,0,0,0,1,0,0,0,0,0,1,0,30.0,pass,5.0
NYJ,0,1,BAL,-10.0,32.0,86,2,1.0,10,1,0,0,0,0,0,0,0,0,0,1,0,43.0,run,5.0
NYJ,0,1,BAL,-10.0,27.0,80,2,2.0,5,0,0,0,0,1,0,0,0,0,0,1,0,48.0,run,0.0
NYJ,0,1,BAL,-10.0,27.0,76,2,3.0,5,0,0,0,0,0,0,0,1,0,0,1,0,48.0,pass,6.0
BAL,0,1,NYJ,7.0,75.0,24,2,1.0,10,1,0,0,0,0,0,0,0,0,0,1,0,0.0,run,3.0
BAL,0,1,NYJ,7.0,75.0,1800,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,2.0
BAL,0,1,NYJ,7.0,73.0,1762,3,2.0,8,0,0,0,0,0,1,0,0,0,0,0,0,2.0,pass,8.0
BAL,0,1,NYJ,7.0,73.0,1755,3,3.0,8,0,0,0,0,0,0,0,0,1,0,0,0,2.0,run,8.0
BAL,0,1,NYJ,7.0,65.0,1714,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,10.0,run,1.0
BAL,0,1,NYJ,7.0,64.0,1678,3,2.0,9,0,0,0,0,0,1,0,0,0,0,0,0,11.0,pass,31.0
BAL,0,1,NYJ,7.0,64.0,1670,3,3.0,9,0,0,0,0,0,0,0,0,1,0,0,0,11.0,pass,5.0
NYJ,0,1,BAL,-7.0,85.0,1616,3,2.0,15,0,0,0,0,0,1,0,0,0,0,0,0,-5.0,pass,-6.0
NYJ,0,1,BAL,-7.0,85.0,1576,3,3.0,15,0,0,0,0,0,0,0,0,1,0,0,0,-5.0,pass,-3.0
BAL,0,1,NYJ,7.0,44.0,1524,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,-3.0
BAL,0,1,NYJ,7.0,29.0,1489,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,15.0,run,6.0
BAL,0,1,NYJ,7.0,23.0,1453,3,2.0,4,0,0,0,0,1,0,0,0,0,0,0,0,21.0,run,6.0
BAL,0,1,NYJ,7.0,17.0,1409,3,1.0,10,1,0,0,0,0,0,0,0,0,1,0,0,27.0,run,-1.0
BAL,0,1,NYJ,7.0,18.0,1383,3,2.0,11,0,0,0,0,0,1,0,0,0,1,0,0,26.0,run,1.0
BAL,0,1,NYJ,7.0,17.0,1340,3,3.0,10,0,0,0,0,0,0,0,0,1,1,0,0,27.0,pass,17.0
NYJ,0,1,BAL,-14.0,75.0,1334,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,1.0
NYJ,0,1,BAL,-14.0,74.0,1298,3,2.0,9,0,0,0,0,0,1,0,0,0,0,0,0,1.0,pass,16.0
NYJ,0,1,BAL,-14.0,69.0,1266,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,6.0,run,2.0
NYJ,0,1,BAL,-14.0,67.0,1231,3,2.0,8,0,0,0,0,0,1,0,0,0,0,0,0,8.0,run,6.0
NYJ,0,1,BAL,-14.0,61.0,1194,3,3.0,2,0,0,0,0,0,0,1,0,0,0,0,0,14.0,pass,11.0
BAL,0,1,NYJ,14.0,88.0,1177,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,-1.0
BAL,0,1,NYJ,14.0,88.0,1174,3,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0.0,pass,10.0
BAL,0,1,NYJ,14.0,73.0,1131,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,15.0,run,8.0
BAL,0,1,NYJ,14.0,65.0,1092,3,2.0,2,0,0,0,1,0,0,0,0,0,0,0,0,23.0,run,10.0
BAL,0,1,NYJ,14.0,55.0,1034,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,33.0,pass,51.0
NYJ,0,1,BAL,-21.0,91.0,1021,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,13.0
NYJ,0,1,BAL,-21.0,74.0,985,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,17.0,pass,1.0
NYJ,0,1,BAL,-21.0,66.0,963,3,2.0,2,0,0,0,1,0,0,0,0,0,0,0,0,25.0,pass,1.0
NYJ,0,1,BAL,-21.0,64.0,938,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,27.0,pass,4.0
NYJ,0,1,BAL,-21.0,64.0,933,3,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,27.0,pass,12.0
NYJ,0,1,BAL,-21.0,52.0,908,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,39.0,pass,12.0
NYJ,0,1,BAL,-21.0,40.0,900,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,51.0,pass,15.0
NYJ,0,1,BAL,-21.0,25.0,878,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,66.0,pass,3.0
NYJ,0,1,BAL,-21.0,22.0,853,4,2.0,7,0,0,0,0,1,0,0,0,0,0,0,0,69.0,pass,3.0
BAL,0,1,NYJ,21.0,85.0,843,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,8.0
BAL,0,1,NYJ,21.0,87.0,769,4,2.0,12,0,0,0,0,0,1,0,0,0,0,0,0,-2.0,pass,3.0
BAL,0,1,NYJ,21.0,83.0,721,4,3.0,8,0,0,0,0,0,0,0,0,1,0,0,0,2.0,pass,13.0
BAL,0,1,NYJ,21.0,66.0,673,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,19.0,run,4.0
BAL,0,1,NYJ,21.0,62.0,625,4,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,23.0,pass,36.0
BAL,0,1,NYJ,21.0,62.0,618,4,3.0,6,0,0,0,0,0,0,0,1,0,0,0,0,23.0,pass,3.0
NYJ,0,1,BAL,-21.0,68.0,606,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,17.0
NYJ,0,1,BAL,-21.0,51.0,585,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,17.0,pass,-3.0
NYJ,0,1,BAL,-21.0,51.0,581,4,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,17.0,pass,3.0
NYJ,0,1,BAL,-21.0,45.0,545,4,3.0,4,0,0,0,0,0,0,0,1,0,0,0,0,23.0,pass,2.0
NYJ,0,1,BAL,-21.0,37.0,524,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,31.0,pass,-5.0
NYJ,0,1,BAL,-21.0,37.0,520,4,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,31.0,pass,-1.0
NYJ,0,1,BAL,-21.0,28.0,490,4,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,40.0,run,0.0
NYJ,0,1,BAL,-21.0,31.0,419,4,1.0,20,0,0,1,0,0,0,0,0,0,0,0,0,37.0,pass,9.0
NYJ,0,1,BAL,-21.0,22.0,398,4,2.0,11,0,0,0,0,0,1,0,0,0,0,0,0,46.0,pass,4.0
NYJ,0,1,BAL,-21.0,17.0,359,4,3.0,6,0,0,0,0,0,0,0,1,0,1,0,0,51.0,pass,2.0
NYJ,0,1,BAL,-21.0,10.0,293,4,1.0,10,1,0,0,0,0,0,0,0,0,1,0,1,58.0,pass,10.0
NYJ,0,1,BAL,-21.0,10.0,289,4,2.0,10,0,0,0,0,0,1,0,0,0,1,0,1,58.0,pass,3.0
NYJ,0,1,BAL,-21.0,6.0,268,4,3.0,6,0,0,0,0,0,0,0,1,0,1,0,1,62.0,pass,6.0
BAL,0,1,NYJ,21.0,97.0,251,4,1.0,14,0,0,1,0,0,0,0,0,0,0,0,0,-4.0,pass,2.0
BAL,0,1,NYJ,21.0,90.0,210,4,2.0,7,0,0,0,0,1,0,0,0,0,0,0,0,3.0,run,1.0
BAL,0,1,NYJ,21.0,89.0,169,4,3.0,6,0,0,0,0,0,0,0,1,0,0,0,0,4.0,pass,32.0
NYJ,1,0,BAL,-21.0,43.0,162,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,4.0
NYJ,1,0,BAL,-21.0,43.0,157,4,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0.0,pass,1.0
NYJ,1,0,BAL,-21.0,27.0,151,4,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,16.0,pass,5.0
NYJ,1,0,BAL,-21.0,22.0,131,4,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,21.0,pass,12.0
NYJ,1,0,BAL,-21.0,17.0,120,4,1.0,10,1,0,0,0,0,0,0,0,0,1,1,0,26.0,pass,3.0
NYJ,1,0,BAL,-21.0,12.0,98,4,2.0,5,0,0,0,0,1,0,0,0,0,1,1,0,31.0,pass,12.0
NYJ,1,0,BAL,-21.0,3.0,71,4,1.0,3,0,1,0,0,0,0,0,0,0,1,1,1,40.0,pass,3.0
