pos_team,posteam_home,posteam_away,def_team,score_differential,yardline_100,half_seconds_remaining,qtr,down,ydstogo,normal_first_down,first_and_short,first_and_long,second_and_short,second_and_medium,second_and_long,third_and_short,third_and_medium,third_and_long,in_redzone,is_two_minute_drill,is_goal_to_go,curr_drive_length,play_type,play_length
ARI,0,1,BUF,0.0,70.0,1800.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,3.0
ARI,0,1,BUF,0.0,67.0,1767.0,1,2.0,7,0,0,0,0,1,0,0,0,0,0,0,0,3.0,pass,-3.0
ARI,0,1,BUF,0.0,45.0,1723.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,25.0,pass,2.0
ARI,0,1,BUF,0.0,36.0,1682.0,1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,34.0,run,2.0
ARI,0,1,BUF,0.0,34.0,1646.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,36.0,run,2.0
ARI,0,1,BUF,0.0,32.0,1611.0,1,2.0,8,0,0,0,0,0,1,0,0,0,0,0,0,38.0,run,2.0
ARI,0,1,BUF,0.0,30.0,1568.0,1,3.0,6,0,0,0,0,0,0,0,1,0,0,0,0,40.0,pass,6.0
ARI,0,1,BUF,0.0,22.0,1532.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,48.0,pass,12.0
ARI,0,1,BUF,0.0,22.0,1528.0,1,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,48.0,run,-3.0
ARI,0,1,BUF,0.0,25.0,1488.0,1,3.0,13,0,0,0,0,0,0,0,0,1,0,0,0,45.0,run,6.0
ARI,0,1,BUF,0.0,9.0,1455.0,1,1.0,9,1,0,0,0,0,0,0,0,0,1,0,1,61.0,run,4.0
ARI,0,1,BUF,0.0,5.0,1374.0,1,3.0,5,0,0,0,0,0,0,0,1,0,1,0,1,65.0,pass,5.0
BUF,1,0,ARI,-7.0,45.0,1359.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,9.0
BUF,1,0,ARI,-7.0,36.0,1318.0,1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.0,run,3.0
BUF,1,0,ARI,-7.0,33.0,1275.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,12.0,pass,13.0
ARI,0,1,BUF,7.0,71.0,1224.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,4.0
ARI,0,1,BUF,7.0,67.0,1186.0,1,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,4.0,pass,-3.0
ARI,0,1,BUF,7.0,41.0,1107.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,30.0,pass,6.0
ARI,0,1,BUF,7.0,35.0,1064.0,1,2.0,4,0,0,0,0,1,0,0,0,0,0,0,0,36.0,pass,-1.0
ARI,0,1,BUF,7.0,28.0,1027.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,43.0,run,11.0
ARI,0,1,BUF,7.0,17.0,988.0,1,1.0,10,1,0,0,0,0,0,0,0,0,1,0,0,54.0,pass,3.0
ARI,0,1,BUF,7.0,14.0,949.0,1,2.0,7,0,0,0,0,1,0,0,0,0,1,0,0,57.0,run,1.0
ARI,0,1,BUF,7.0,13.0,908.0,1,3.0,6,0,0,0,0,0,0,0,1,0,1,0,0,58.0,pass,1.0
BUF,0,1,ARI,-10.0,64.0,894.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,6.0,run,15.0
BUF,0,1,ARI,-10.0,49.0,862.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,21.0,run,5.0
BUF,0,1,ARI,-10.0,44.0,825.0,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,26.0,pass,6.0
BUF,0,1,ARI,-10.0,21.0,796.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,49.0,run,9.0
BUF,0,1,ARI,-10.0,12.0,755.0,2,2.0,1,0,0,0,1,0,0,0,0,0,1,0,0,58.0,run,4.0
BUF,0,1,ARI,-10.0,8.0,716.0,2,1.0,8,1,0,0,0,0,0,0,0,0,1,0,1,62.0,run,4.0
BUF,0,1,ARI,-10.0,4.0,675.0,2,2.0,4,0,0,0,0,1,0,0,0,0,1,0,1,66.0,run,0.0
ARI,0,1,BUF,7.0,71.0,582.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,-4.0
ARI,0,1,BUF,7.0,66.0,542.0,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,5.0,run,6.0
ARI,0,1,BUF,7.0,60.0,505.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,11.0,pass,15.0
ARI,0,1,BUF,7.0,60.0,499.0,2,2.0,10,0,0,0,0,0,1,0,0,0,0,0,0,11.0,pass,4.0
ARI,0,1,BUF,7.0,56.0,459.0,2,3.0,6,0,0,0,0,0,0,0,1,0,0,0,0,15.0,run,12.0
ARI,0,1,BUF,7.0,44.0,425.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,27.0,pass,4.0
ARI,0,1,BUF,7.0,39.0,384.0,2,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,32.0,pass,26.0
ARI,0,1,BUF,7.0,39.0,376.0,2,3.0,5,0,0,0,0,0,0,0,1,0,0,0,0,32.0,pass,9.0
ARI,0,1,BUF,7.0,25.0,338.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,46.0,run,4.0
ARI,0,1,BUF,7.0,21.0,293.0,2,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,50.0,pass,6.0
ARI,0,1,BUF,7.0,13.0,249.0,2,1.0,10,1,0,0,0,0,0,0,0,0,1,0,0,58.0,run,3.0
ARI,0,1,BUF,7.0,10.0,205.0,2,2.0,7,0,0,0,0,1,0,0,0,0,1,0,0,61.0,pass,7.0
ARI,0,1,BUF,7.0,3.0,164.0,2,1.0,3,0,1,0,0,0,0,0,0,0,1,0,1,68.0,run,3.0
BUF,0,1,ARI,-14.0,75.0,160.0,2,1.0,15,0,0,1,0,0,0,0,0,0,0,0,0,-5.0,run,6.0
BUF,0,1,ARI,-14.0,69.0,120.0,2,2.0,9,0,0,0,0,0,1,0,0,0,0,1,0,1.0,pass,5.0
BUF,0,1,ARI,-14.0,66.0,83.0,2,3.0,6,0,0,0,0,0,0,0,1,0,0,1,0,4.0,pass,8.0
BUF,0,1,ARI,-14.0,52.0,55.0,2,1.0,15,0,0,1,0,0,0,0,0,0,0,1,0,18.0,run,6.0
BUF,0,1,ARI,-14.0,26.0,38.0,2,1.0,10,1,0,0,0,0,0,0,0,0,0,1,0,44.0,pass,1.0
BUF,0,1,ARI,-14.0,14.0,32.0,2,1.0,10,1,0,0,0,0,0,0,0,0,1,1,0,56.0,run,7.0
BUF,0,1,ARI,-14.0,7.0,25.0,2,2.0,3,0,0,0,1,0,0,0,0,0,1,1,0,63.0,run,7.0
BUF,0,1,ARI,-7.0,60.0,1800.0,3,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,1.0
BUF,0,1,ARI,-7.0,69.0,1778.0,3,1.0,19,0,0,1,0,0,0,0,0,0,0,0,0,-9.0,pass,-6.0
BUF,0,1,ARI,-7.0,65.0,1736.0,3,2.0,15,0,0,0,0,0,1,0,0,0,0,0,0,-5.0,pass,4.0
